eta,reference,P_wrap,marked,chi,xi,n
0.778343,K1_maple_leaf,0.0,0.29191468253968256,1.7254650471147388,0.6617938945920357,8
0.778343,K2_kagome,0.0,0.0005580357142857143,0.875,0.0,8
0.778343,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.778843,K1_maple_leaf,0.0,0.2951940035273369,1.7370416433812832,0.6884263023532877,9
0.778843,K2_kagome,0.0,0.000992063492063492,0.7777777777777778,0.0,9
0.778843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.779343,K1_maple_leaf,0.0,0.2934303350970018,1.7454008873390794,0.6829187606195362,9
0.779343,K2_kagome,0.0,0.0009369488536155202,0.7777777777777778,0.0,9
0.779343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.779843,K1_maple_leaf,0.0,0.29557980599647266,1.7621919607625118,0.6841261812949119,9
0.779843,K2_kagome,0.0,0.0006613756613756613,0.6666666666666666,0.0,9
0.779843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.78,K1_maple_leaf,0.0,0.29287918871252205,1.6882996265662171,0.6351311701511866,9
0.78,K2_kagome,0.0,0.0011022927689594356,1.0,0.0,9
0.78,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.780343,K1_maple_leaf,0.0,0.2943948412698413,1.7270810414376458,0.6663800925789962,8
0.780343,K2_kagome,0.0,0.0008680555555555555,1.0,0.0,8
0.780343,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.780843,K1_maple_leaf,0.0,0.29464285714285715,1.7634745051924356,0.6964452143346094,9
0.780843,K2_kagome,0.0,0.001267636684303351,1.0,0.0,9
0.780843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.781343,K1_maple_leaf,0.0,0.3000992063492063,1.7584011129982597,0.7062728704407722,9
0.781343,K2_kagome,0.0,0.0007716049382716049,1.0,0.0,9
0.781343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.781843,K1_maple_leaf,0.0,0.298831569664903,1.7483546054709243,0.6839712114585751,9
0.781843,K2_kagome,0.0,0.0007164902998236331,0.8888888888888888,0.0,9
0.781843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.782343,K1_maple_leaf,0.0,0.30004409171075835,1.7749393405281377,0.6820657537178687,9
0.782343,K2_kagome,0.0,0.0008818342151675485,0.7777777777777778,0.0,9
0.782343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.782843,K1_maple_leaf,0.0,0.3010912698412698,1.7942121554378094,0.6918525588897457,8
0.782843,K2_kagome,0.0,0.0011780753968253968,1.0,0.0,8
0.782843,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.783343,K1_maple_leaf,0.0,0.30279982363315694,1.7719627557713453,0.6659875737570606,9
0.783343,K2_kagome,0.0,0.0008267195767195767,0.7777777777777778,0.0,9
0.783343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.79,K1_maple_leaf,0.0,0.30164241622574955,1.7590669922883846,0.6749573481338356,9
0.79,K2_kagome,0.0,0.0008818342151675485,0.7777777777777778,0.0,9
0.79,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.8,K1_maple_leaf,0.0,0.3051146384479717,1.8194772232629093,0.7210070984576898,9
0.8,K2_kagome,0.0,0.0007164902998236331,0.6666666666666666,0.0,9
0.8,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.81,K1_maple_leaf,0.0,0.3079805996472663,1.8534879005937244,0.7154702983547698,9
0.81,K2_kagome,0.0,0.0012125220458553791,0.9444444444444444,0.05255219363430132,9
0.81,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.82,K1_maple_leaf,0.0,0.30859375,1.844313616288276,0.690812821982568,8
0.82,K2_kagome,0.0,0.0011780753968253968,0.875,0.0,8
0.82,K3_honeycomb,0.0,0.0,0.0,0.0,8
